"Name","Gross Export","Share","Code","Sector"
"Photographic plates","186127","0.0003629332032393322","3701","Chemicals"
"Photographic film in rolls","32481","0.00006333542889756322","3702","Chemicals"
"Photographic paper","73182","0.00014269921977714574","3703","Chemicals"
"Photographic film, developed","596","0.000001162153739815513","3705","Chemicals"
"Motion-picture film","13576","0.000026472146261301014","3706","Chemicals"
"Chemical preparations for photographic uses","22351","0.000043582715165463976","3707","Chemicals"
"Artificial graphite","288856","0.0005632467796445467","3801","Chemicals"
"Activated carbon","5109247","0.009962635081696628","3802","Chemicals"
"Residual lyes","172833","0.0003370109350898231","3804","Chemicals"
"Rosin and resin acids","908795","0.0017720797113685222","3806","Chemicals"
"Wood tar and oils","45877672","0.08945789947790175","3807","Chemicals"
"Insecticides, rodenticides, fungicides, etc.","14553137","0.028377487568116633","3808","Chemicals"
"Finishing agents","5298902","0.010332447611100507","3809","Chemicals"
"Pickling preparations for metal surfaces","26418","0.00005151304949403728","3810","Chemicals"
"Anti-knock","4090788","0.007976719082202053","3811","Chemicals"
"Stabilizers for rubber or plastic","74996","0.00014623637897853055","3812","Chemicals"
"Preparations for fire extinguishers","120747","0.00023544727788842913","3813","Chemicals"
"Organic composite solvents and thinners","3466307","0.006759029603017938","3814","Chemicals"
"Catalytic preparations","1473791","0.0028737780576450415","3815","Chemicals"
"Refractory cements","2347618","0.004577672883151368","3816","Chemicals"
"Mixed alkylbenzenes","212772640","0.4148901330644628","3817","Chemicals"
"Hydraulic fluids","599132","0.001168260896716691","3819","Chemicals"
"Antifreezing preparation","2814","0.000005487081583625593","3820","Chemicals"
"Prepared culture media for micro-organisms","42293","0.00008246806731210988","3821","Chemicals"
"Diagnostic or laboratory reagents","1259133","0.0024552116189179973","3822","Chemicals"
"Industrial monocarboxylic fatty acids","21020224","0.0409878052573151","3823","Chemicals"
"Polymers of ethylene","200136576","0.39025078904743565","3901","Chemicals"
"Polymers of propylene","163155824","0.31814119301053967","3902","Chemicals"
"Polymers of styrene","205117280","0.3999627752563519","3903","Chemicals"
"Polymers of vinyl chloride","91340640","0.1781071583441987","3904","Chemicals"
"Polymers of vinyl acetate","10424441","0.0203268508282486","3905","Chemicals"
"Acrylic polymers","3978775","0.007758302426400113","3906","Chemicals"
"Polyacetals","195235120","0.3806933302874672","3907","Chemicals"
"Polyamides","58650","0.00011436294771842255","3908","Chemicals"
"Amino-resins","30879540","0.06021270619929988","3909","Chemicals"
"Silicones in primary forms","395907","0.000771987920585806","3910","Chemicals"
"Petroleum resins","569636","0.0011107459861301168","3911","Chemicals"
"Cellulose n.e.c.","612391","0.0011941149175828218","3912","Chemicals"
"Natural polymers","1491712","0.0029087226166571787","3913","Chemicals"
"Ion-exchangers based on polymers","1936590","0.0037762001862236983","3914","Chemicals"
"Plastic waste","1567894","0.003057271603581047","3915","Chemicals"
"Monofilament","2676793","0.005219538583325481","3916","Chemicals"
"Plastic tubes and fittings","80903320","0.15775519446558925","3917","Chemicals"
"Plastic floor coverings","5599661","0.010918904316860864","3918","Chemicals"
"Self-adhesive plastic sheets","2458459","0.004793804229921319","3919","Chemicals"
"Other plates of plastics, noncellular and not reinforced","246258672","0.4801852963536943","3920","Chemicals"
"Other plastic plates, sheets etc.","10914889","0.021283186360773833","3921","Chemicals"
